Tokens,Count
laptop,496
computer,295
screen,191
battery,152
keyboard,151
window,148
price,147
product,118
machine,107
the,80
life,67
processor,64
asus,59
of,58
drive,57
it,56
and,53
dell,52
acer,50
8,49
software,48
graphic,48
performance,47
display,45
ram,45
support,45
mouse,44
customer,44
touchscreen,42
mac,42
service,42
love,41
macbook,40
amazon,39
system,39
pad,38
great,37
to,37
hp,37
chromebook,36
port,35
memory,35
touch,34
purchase,34
game,34
touchpad,33
for,32
design,31
key,31
problem,30
hard,30
card,30
money,29
office,29
work,28
this,28
google,28
tablet,28
fast,28
speaker,28
lenovo,28
video,27
feature,27
10,27
driver,26
hardware,26
value,25
quality,25
device,24
in,24
time,24
good,24
shipping,24
o,24
slow,24
happy,23
speed,23
gaming,23
space,23
fan,23
size,22
up,22
program,22
trackpad,22
chrome,22
warranty,21
well,20
unit,20
fine,20
pro,20
everything,20
light,20
disk,20
back,19
on,19
color,19
boot,19
2,18
apple,18
new,18
pc,18
weight,18
toshiba,18
thing,18
hd,18
apps,18
a,17
better,17
issue,17
resolution,17
other,17
usb,17
button,17
tech,17
use,16
one,16
1,16
book,16
wireless,16
power,16
samsung,16
storage,15
perfect,15
microsoft,15
charge,15
i,14
my,14
with,14
picture,14
7,14
sound,14
easy,14
cd,14
or,13
worth,13
buy,13
recommend,13
dvd,13
4,13
update,13
vista,13
model,13
doc,13
sony,13
get,12
star,12
bloatware,12
web,12
internet,12
what,12
delivery,12
return,12
gb,12
charger,12
spec,12
track,12
ethernet,12
right,11
seller,11
monitor,11
down,11
brand,11
i7,11
ssd,11
audio,11
company,11
notebook,11
msi,11
piece,10
box,10
headphone,10
refurbished,10
complaint,10
item,10
click,10
netbook,10
optical,10
operating,10
more,9
like,9
mode,9
8.1,9
build,9
disappointed,9
application,9
run,9
black,9
wifi,9
cheap,9
level,9
thin,9
cpu,9
vga,9
experience,9
vaio,9
ultrabook,9
series,9
not,8
xp,8
app,8
version,8
word,8
day,8
review,8
printer,8
bios,8
