Tokens,Count
very,406
not,320
really,140
no,109
pretty,79
don't,69
much,68
doesn't,59
so,59
a,56
only,56
little,56
more,45
never,45
bit,36
of,34
ever,33
all,27
too,27
even,26
lot,26
time,25
can't,25
definitely,25
far,24
didn't,24
the,23
won't,22
without,22
absolutely,22
at,20
highly,19
to,18
many,18
isn't,18
well,17
extremely,17
most,16
just,15
cannot,15
super,15
any,14
completely,14
quite,14
nothing,14
couldn't,13
sometimes,13
often,13
haven't,13
in,12
some,12
big,12
everything,12
way,12
doe,11
almost,11
day,11
wouldn't,11
had,10
few,10
always,10
enough,10
totally,10
for,9
that,9
have,9
still,9
easily,9
be,9
major,9
fairly,9
aren't,9
than,8
constantly,8
again,8
such,8
exactly,8
great,7
by,7
kind,7
every,7
wasn't,7
yet,7
huge,7
rather,7
incredibly,7
this,6
i,6
do,6
small,6
month,6
perfectly,6
ultra,6
frequently,6
amazingly,6
it,5
and,5
can,5
best,5
need,5
out,5
after,5
long,5
especially,5
merely,5
stopped,5
overall,5
surprisingly,5
quickly,5
100%,5
biggest,5
truly,5
tremendously,5
significantly,5
but,4
laptop,4
use,4
one,4
excellent,4
good,4
slightly,4
seems,4
real,4
anything,4
le,4
may,4
probably,4
relatively,4
none,4
common,4
damn,4
tad,4
work,3
is,3
my,3
love,3
with,3
like,3
2,3
used,3
price,3
battery,3
life,3
annoying,3
will,3
brand,3
pure,3
year,3
twice,3
first,3
didnt,3
ok,3
speed,3
except,3
thing,3
couple,3
easy,3
must,3
plenty,3
gaming,3
cant,3
utter,3
slow,3
soo,3
faulty,3
forever,3
complete,3
large,3
save,3
several,3
longer,3
particularly,3
mostly,3
beyond,3
simply,3
overly,3
sooo,3
hasn't,3
sanity,3
muy,3
hell,3
wont,3
terribly,3
crazy,3
nearly,3
minor,3
could't,3
get,2
1,2
worth,2
extra,2
impressed,2
actually,2
general,2
would,2
issue,2
people,2
buy,2
high,2
honestly,2
fact,2
about,2
other,2
hard,2
six,2
once,2
frequent,2
5,2
otherwise,2
full,2
sure,2
con,2
half,2
basic,2
light,2
awesome,2
suck,2
should,2
hardly,2
yeah,2
filthy,2
ease,2
considering,2
let,2
matter,2
amazing,2
lighting,2
doc,2
numerous,2
next,2
rarely,2
today,2
shouldn't,2
whole,2
definitly,2
50%,2
barely,2
soon,2
anyway,2
unable,2
somewhat,2
certainly,2
sliver,2
virtually,2
flawlessly,2
substantially,2
beware,2
massive,2
aggravation,2
poco,2
kind-a,2
whatsoever,2
death,2
per,2
darn,2
crapped,2
hundred,2
luck,2
giant,2
seriously,2
extreme,2
wayyyy,2
considerably,2
immensely,2
reasonably,2
slight,2
flaming,2
computer,1
google,1
website,1
right,1
back,1
task,1
or,1
got,1
inch,1
better,1
i've,1
wanted,1
mode,1
up,1
second,1
star,1
on,1
asus,1
it's,1
deal,1
resolution,1
stick,1
since,1
6,1
least,1
guess,1
purchased,1
us,1
daily,1
see,1
new,1
course,1
gave,1
fine,1
despite,1
week,1
that's,1
three,1
covered,1
word,1
did,1
doubt,1
yes,1
imagine,1
having,1
review,1
loaded,1
fast,1
email,1
impressive,1
hour,1
feel,1
two,1
support,1
4k,1
plug,1
free,1
option,1
however,1
ssd,1
memory,1
though,1
available,1
help,1
box,1
access,1
change,1
what,1
think,1
supposed,1
alot,1
3,1
smooth,1
low,1
man,1
impossible,1
needed,1
dont,1
could,1
anyone,1
doesnt,1
single,1
we,1
worst,1
crystal,1
plus,1
randomly,1
cheaper,1
maxed,1
btw,1
everywhere,1
finish,1
10,1
game,1
writing,1
seemed,1
solid,1
double,1
off,1
saving,1
found,1
reboot,1
over,1
charge,1
miss,1
power,1
owned,1
else,1
9,1
hr,1
suddenly,1
gamers,1
spec,1
live,1
important,1
potential,1
particular,1
significant,1
reduced,1
away,1
above,1
band,1
received,1
neither,1
molasses,1
although,1
gripe,1
explanation,1
obviously,1
fail,1
unfortunately,1
swear,1
tends,1
thus,1
vga,1
webpage,1
beast,1
everytime,1
beautifully,1
bad,1
behind,1
flush,1
min,1
unusual,1
believe,1
term,1
switching,1
noticeable,1
greater,1
world,1
develop,1
okay,1
tech,1
stop,1
technology,1
purpose,1
fabulous,1
masochistic,1
tendency,1
continues,1
un,1
construction,1
like-new,1
rock,1
roll,1
send,1
100th,1
bolonga,1
nobody,1
anyhow,1
equally,1
samsung,1
overriding,1
alone,1
sleep,1
encounter,1
rest,1
third,1
small.no,1
simultaneously,1
non-hardcore,1
night,1
promptly,1
unexpectantly,1
kinda,1
expedient,1
hair,1
cool-but,1
involved,1
agonizingly,1
enought,1
wonder,1
category,1
d-e-a-d,1
declared,1
7h,1
referring,1
pointer,1
pleasant,1
primarily,1
arguably,1
at-least,1
consistently,1
nine,1
measure,1
operated,1
disallowed,1
swath,1
bough,0
goody,0
offer,0
holiday,0
go,0
redeem,0
say,0
code,0
drive,0
storage,0
sending,0
am,0
surprised,0
how,0
unit,0
made,0
performs,0
.,0
perfect,0
choice,0
lightweight,0
device,0
window,0
based,0
software,0
wa,0
find,0
powerful,0
size,0
either,0
reader,0
tablet,0
sister,0
13,0
',0
em,0
both,0
dell,0
value,0
paying,0
money,0
microsoft,0
surface,0
happy,0
seller,0
bought,0
replace,0
inspiron,0
1525,0
from,0
2008,0
which,0
chugging,0
along,0
something,0
faster,0
portable,0
dual,0
functionality,0
switch,0
forth,0
serious,0
hook,0
keyboard,0
mouse,0
24,0
monitor,0
8,0
take,0
getting,0
touch,0
pad,0
funky,0
touchscreen,0
opted,0
pentium,0
quad,0
processor,0
8.1,0
lost,0
versus,0
xp,0
build,0
quality,0
rival,0
macbooks,0
browsing,0
watching,0
video,0
ha,0
make,0
college,0
scaling,0
text,0
bigger,0
also,0
look,0
fuzzy,0
might,0
want,0
control,0
panel,0
turn,0
down,0
medium,0
clearer,0
fix,0
deduct,0
bloatware,0
webstorage,0
app,0
bother,0
using,0
already,0
",",0
you,0
rid,0
la,0
version,0
problem,0
display,0
color,0
remember,0
ln,0
expensive,0
who've,0
yellow,0
looking,0
greenish,0
preferable,0
result,0
ln's,0
screen,0
disappointed,0
apple,0
i'm,0
geek,0
them,0
purely,0
because,0
transfer,0
music,0
photo,0
etc,0
phone,0
favorite,0
last,0
disposable,0
job,0
expensively,0
another,0
flair,0
son,0
christmas,0
deliveredin,0
put,0
under,0
tree,0
disc,0
insanity,0
$25,0
$250,0
purchase,0
poorly-made,0
product,0
ask,0
same,0
comment,0
said,0
fervor,0
religious,0
convert,0
reverently,0
i'll,0
pc,0
(,0
shudder,0
),0
husband,0
former,0
macbook,0
upon,0
buying,0
muttering,0
forced,0
workplace,0
mac,0
nut,0
thought,0
everyone,0
batty,0
dandy,0
reformatting,0
trojan,0
horse,0
putting,0
security,0
program,0
protect,0
defragmenting,0
slowed,0
ad,0
nauseum,0
ended,0
secure,0
fussing,0
taken,0
care,0
automatically,0
within,0
machine,0
clean,0
warranty,0
prior,0
store's,0
genius,0
bar,0
fixed,0
overnight,0
15,0
minute,0
hot,0
application,0
whether,0
graphic,0
audio-visual,0
playback,0
processing,0
ebook,0
reading,0
web,0
building,0
pro,0
instead,0
glad,0
been,0
heavy,0
appreciate,0
weight,0
liked,0
iphone,0
came,0
become,0
lived,0
integral,0
notice,0
gone,0
timing,0
visit,0
blog,0
link,0
given,0
profile,0
page,0
here,0
phonetically,0
url,0
livingasseniors,0
dot,0
blogspot,0
com,0
friday's,0
entry,0
weekend,0
entertainment,0
recs,0
amazon,0
film,0
tv,0
book,0
buried,0
treasure,0
hidden,0
gem,0
published,0
monday,0
wednesday,0
friday,0
meet,0
affordable,0
feature,0
were,0
internet,0
surfing,0
wordl,0
quick,0
reliable,0
connected,0
brother,0
printer,0
fax,0
scanner,0
obtained,0
driver,0
speedy,0
chromebook,0
!,0
picture,0
displayed,0
performance,0
built-in,0
accurate,0
office,0
clear,0
vibrant,0
nice,0
exceptional,0
casing,0
flimsy,0
recommend,0
student,0
unless,0
confident,0
capable,0
remembering,0
cautious,0
carrying,0
around,0
flip,0
able,0
decent,0
spent,0
pleased,0
if,0
you're,0
dvd,0
core,0
haswell,0
i7,0
-,0
4710hq,0
hyperthreads,0
4,0
8gb,0
ram,0
1tb,0
output,0
hdmi,0
built,0
harmon,0
kardon,0
speaker,0
8000,0
cpumark,0
site,0
xeon,0
workstation,0
e5440,0
2.83ghz,0
latest,0
give,0
25,0
40%,0
boost,0
interface,0
install,0
called,0
classic,0
shell,0
normal,0
start,0
menu,0
7,0
multi-touch,0
scroll,0
finger,0
chromebooks,0
sale,0
open-box,0
$585,0
run,0
uefi,0
create,0
vhd,0
file,0
add,0
boot,0
affecting,0
main,0
802.11ac,0
wireless,0
connect,0
1200mbps,0
router,0
usb3,0
port,0
are,0
when,0
attached,0
open,0
gotten,0
there's,0
an,0
bios,0
disable,0
running,0
legacy,0
reinstall,0
5400rpm,0
sluggish,0
handy,0
consider,0
hybrid,0
7200rpm,0
smaller,0
bottom,0
piece,0
screw,0
soldered,0
upgraded,0
toshiba,0
bga,0
format,0
lemon,0
worked,0
five,0
then,0
started,0
screwing,0
sent,0
acer,0
repair,0
paid,0
professional,0
remains,0
now,0
refuse,0
sound,0
keep,0
cutting,0
closing,0
reopening,0
shut,0
working,0
search,0
locked,0
headphone,0
default,0
pair,0
setting,0
allows,0
internal,0
middleschooler,0
homework,0
later,0
phenomenal,0
touchpad,0
dropped,0
ill,0
effect,0
myself,0
lightning,0
quizlet,0
subject,0
imanahible,0
studying,0
breeze,0
lightness,0
compact,0
ability,0
reconmend,0
prossessing,0
spreadsheet,0
drawing,0
availabe,0
online,0
youe,0
set,0
advised,0
carry,0
loose,0
move,0
maybe,0
im,0
price-features,0
disconnect,0
bluetooth,0
sculpt,0
