Tokens,Index
laptop,0
computer,1
screen,2
battery,3
keyboard,4
window,5
price,6
product,7
machine,8
the,9
life,10
processor,11
asus,12
of,13
drive,14
it,15
and,16
dell,17
acer,18
8,19
software,20
graphic,21
performance,22
display,23
ram,24
support,25
mouse,26
customer,27
touchscreen,28
mac,29
service,30
love,31
macbook,32
amazon,33
system,34
pad,35
great,36
to,37
hp,38
chromebook,39
port,40
memory,41
touch,42
purchase,43
game,44
touchpad,45
for,46
design,47
key,48
problem,49
hard,50
card,51
money,52
office,53
work,54
this,55
google,56
tablet,57
fast,58
speaker,59
lenovo,60
video,61
feature,62
10,63
driver,64
hardware,65
value,66
quality,67
device,68
in,69
time,70
good,71
shipping,72
o,73
slow,74
happy,75
speed,76
gaming,77
space,78
fan,79
size,80
up,81
program,82
trackpad,83
chrome,84
warranty,85
well,86
unit,87
fine,88
pro,89
everything,90
light,91
disk,92
back,93
on,94
color,95
boot,96
2,97
apple,98
new,99
pc,100
weight,101
toshiba,102
thing,103
hd,104
apps,105
a,106
better,107
issue,108
resolution,109
other,110
usb,111
button,112
tech,113
use,114
one,115
1,116
book,117
wireless,118
power,119
samsung,120
storage,121
perfect,122
microsoft,123
charge,124
i,125
my,126
with,127
picture,128
7,129
sound,130
easy,131
cd,132
or,133
worth,134
buy,135
recommend,136
dvd,137
4,138
update,139
vista,140
model,141
doc,142
sony,143
get,144
star,145
bloatware,146
web,147
internet,148
what,149
delivery,150
return,151
gb,152
charger,153
spec,154
track,155
ethernet,156
right,157
seller,158
monitor,159
down,160
brand,161
i7,162
ssd,163
audio,164
company,165
notebook,166
msi,167
piece,168
box,169
headphone,170
refurbished,171
complaint,172
item,173
click,174
netbook,175
optical,176
operating,177
more,178
like,179
mode,180
8.1,181
build,182
disappointed,183
application,184
run,185
black,186
wifi,187
cheap,188
level,189
thin,190
cpu,191
vga,192
experience,193
vaio,194
ultrabook,195
series,196
not,197
xp,198
app,199
version,200
word,201
day,202
review,203
printer,204
bios,205
replacement,206
lighter,207
wrong,208
fingerprint,209
browser,210
cooling,211
buck,212
top,213
board,214
lcd,215
explorer,216
packaging,217
adapter,218
all,219
extra,220
browsing,221
turn,222
profile,223
pleased,224
ok,225
sent,226
repair,227
setting,228
smooth,229
camera,230
upgrade,231
m,232
expectation,233
hinge,234
blue,235
finish,236
condition,237
crap,238
setup,239
mini,240
shipped,241
handle,242
editing,243
gesture,244
charging,245
function,246
technology,247
peripheral,248
movie,249
backup,250
task,251
than,252
functionality,253
looking,254
will,255
deal,256
high,257
music,258
doe,259
security,260
any,261
year,262
5,263
nice,264
feel,265
core,266
4k,267
hdmi,268
built,269
free,270
basic,271
class,272
needed,273
viewing,274
angle,275
connection,276
freeze,277
terrible,278
nicely,279
$200,280
nvidia,281
old,282
left,283
satisfied,284
recommended,285
capability,286
portability,287
manufacturer,288
shuts,289
mechanism,290
heat,291
external,292
hdd,293
case,294
component,295
exactly,296
cord,297
resource,298
backlit,299
i5,300
slim,301
insurance,302
osx,303
grill,304
website,305
choice,306
do,307
powerful,308
much,309
inspiron,310
some,311
impressed,312
text,313
fix,314
job,315
disc,316
out,317
15,318
processing,319
heavy,320
at,321
casing,322
full,323
two,324
8gb,325
open,326
worked,327
help,328
set,329
3,330
awesome,331
image,332
desktop,333
older,334
worst,335
enjoy,336
geforce,337
intel,338
cost,339
gateway,340
off,341
latitude,342
retina,343
smoothly,344
returned,345
package,346
sheet,347
960m,348
virtual,349
tooth,350
connectivity,351
computing,352
vendor,353
lenovo's,354
simplicity,355
go,356
that,357
have,358
paying,359
surface,360
something,361
portable,362
dual,363
switch,364
need,365
most,366
quad,367
excellent,368
macbooks,369
would,370
it's,371
la,372
no,373
just,374
be,375
photo,376
etc,377
another,378
bar,379
fixed,380
liked,381
affordable,382
router,383
option,384
smaller,385
shut,386
simple,387
input,388
waste,389
responsive,390
thinkpad,391
jack,392
overall,393
cool,394
cheaper,395
gpu,396
netflix,397
solid,398
point,399
