Tokens,Index
great,0
good,1
problem,2
to,3
fast,4
love,5
well,6
work,7
happy,8
issue,9
a,10
like,11
of,12
slow,13
the,14
better,15
best,16
excellent,17
nice,18
perfect,19
recommend,20
it,21
easy,22
fine,23
worth,24
for,25
up,26
bad,27
terrible,28
amazing,29
i,30
more,31
buy,32
on,33
out,34
get,35
run,36
smooth,37
have,38
not,39
light,40
solid,41
use,42
new,43
need,44
disappointed,45
time,46
in,47
and,48
back,49
down,50
responsive,51
everything,52
decent,53
working,54
cheap,55
cool,56
satisfied,57
my,58
only,59
be,60
wrong,61
worst,62
can,63
faster,64
last,65
ok,66
awesome,67
beautiful,68
small,69
powerful,70
than,71
impressed,72
5,73
pleased,74
star,75
high,76
quick,77
complaint,78
what,79
turn,80
easily,81
any,82
again,83
bright,84
useless,85
off,86
right,87
is,88
free,89
stopped,90
smoothly,91
go,92
with,93
one,94
no,95
long,96
hour,97
simple,98
enough,99
thin,100
lightweight,101
2,102
price,103
fix,104
support,105
lot,106
help,107
broke,108
this,109
much,110
screen,111
cheaper,112
adequate,113
sensitive,114
helpful,115
that,116
do,117
or,118
portable,119
had,120
look,121
little,122
never,123
speed,124
suck,125
hate,126
return,127
all,128
quality,129
doe,130
clear,131
horrible,132
sleek,133
handle,134
loved,135
money,136
replace,137
impressive,138
trouble,139
fantastic,140
le,141
poor,142
freeze,143
nicely,144
play,145
quickly,146
value,147
too,148
big,149
heavy,150
smaller,151
lighter,152
expectation,153
crap,154
useful,155
size,156
getting,157
would,158
annoying,159
day,160
able,161
full,162
available,163
worked,164
needed,165
exactly,166
crash,167
went,168
but,169
surprised,170
take,171
ha,172
just,173
will,174
brand,175
purchase,176
hot,177
at,178
feature,179
4,180
3,181
waste,182
wonderful,183
elegant,184
space,185
game,186
recommended,187
charge,188
wish,189
missing,190
weak,191
dead,192
failed,193
returned,194
easier,195
sturdy,196
crashed,197
used,198
most,199
want,200
few,201
expensive,202
perfectly,203
liked,204
meet,205
feel,206
boot,207
shut,208
frustrating,209
respond,210
large,211
shuts,212
lack,213
fan,214
slower,215
nightmare,216
usable,217
difficult,218
error,219
flawlessly,220
stable,221
stunning,222
window,223
wa,224
make,225
second,226
bloatware,227
deal,228
without,229
pro,230
affordable,231
low,232
pay,233
enjoy,234
blue,235
cost,236
downside,237
10,238
heavier,239
prefer,240
longer,241
flaw,242
unresponsive,243
laptop,244
paying,245
looking,246
don't,247
about,248
same,249
buying,250
fixed,251
been,252
even,253
quite,254
con,255
handy,256
piece,257
sent,258
plenty,259
different,260
design,261
scratch,262
ridiculous,263
could,264
flawless,265
top,266
heat,267
gripe,268
beast,269
disappointing,270
skeptical,271
comfortable,272
fun,273
wonderfully,274
wanted,275
1,276
8,277
lost,278
won't,279
using,280
glad,281
capable,282
repair,283
thing,284
half,285
thanks,286
anything,287
nothing,288
hiccup,289
properly,290
ease,291
old,292
hold,293
miss,294
loving,295
power,296
detail,297
awful,298
provide,299
loud,300
quiet,301
fastest,302
experience,303
gorgeous,304
okay,305
call,306
fried,307
slim,308
drawback,309
fault,310
wow,311
garbage,312
by,313
keyboard,314
video,315
battery,316
weight,317
first,318
reliable,319
performance,320
pretty,321
latest,322
start,323
7,324
upgraded,325
bonus,326
hitch,327
died,328
way,329
functional,330
plus,331
come,332
faulty,333
amount,334
condition,335
compatible,336
expected,337
screwed,338
modern,339
matter,340
forever,341
negative,342
superb,343
solution,344
conflict,345
limited,346
huge,347
crisp,348
away,349
replaced,350
greatest,351
fit,352
poorly,353
behind,354
jump,355
steal,356
dog,357
brilliant,358
unusable,359
beware,360
stylish,361
broken,362
crappy,363
stuck,364
happier,365
frustration,366
shady,367
surprise,368
turd,369
computer,370
doesn't,371
sending,372
find,373
ever,374
bought,375
some,376
life,377
stick,378
job,379
another,380
other,381
nut,382
after,383
week,384
year,385
instead,386
did,387
can't,388
having,389
accurate,390
install,391
connect,392
sluggish,393
setting,394
change,395
loose,396
end,397
gaming,398
impossible,399
replacement,400
met,401
cover,402
crystal,403
hardly,404
randomly,405
try,406
installed,407
discrete,408
cut,409
let,410
grace,411
unhappy,412
concerned,413
technical,414
took,415
true,416
else,417
flat,418
silent,419
above,420
super,421
blown,422
stand,423
recognize,424
die,425
nicer,426
dim,427
line,428
unusual,429
solidly,430
function,431
inoperable,432
sufficient,433
fabulous,434
sharp,435
apart,436
rock,437
send,438
average,439
unnecessary,440
crazy,441
difference,442
clunky,443
drain,444
meh,445
got,446
touch,447
build,448
version,449
product,450
month,451
slowed,452
machine,453
minute,454
appreciate,455
came,456
amazon,457
two,458
port,459
attached,460
open,461
running,462
must,463
refurbished,464
class,465
black,466
cannot,467
shipping,468
older,469
upgrade,470
denied,471
convenience,472
eat,473
defective,474
going,475
unfortunate,476
level,477
found,478
killer,479
save,480
+,481
over,482
suggest,483
overheat,484
9,485
worried,486
advertised,487
delivers,488
done,489
quad-core,490
worry,491
rating,492
order,493
fail,494
junk,495
loses,496
frustrated,497
none,498
installing,499
thank,500
damaged,501
unable,502
annoyed,503
weighs,504
noticeable,505
warm,506
overheating,507
delay,508
designed,509
cumbersome,510
aware,511
quicker,512
inadequate,513
recived,514
breaking,515
waiting,516
fell,517
disabled,518
durable,519
samsung,520
disappointment,521
mind,522
shutdown,523
advantage,524
significantly,525
noise,526
acknowledged,527
fly,528
mess,529
advice,530
lower,531
hung-up,532
slows,533
drive,534
made,535
i've,536
switch,537
constantly,538
24,539
touchscreen,540
extra,541
very,542
actually,543
scaling,544
bigger,545
fuzzy,546
might,547
didn't,548
color,549
preferable,550
resolution,551
i'm,552
least,553
favorite,554
purchased,555
insanity,556
$25,557
poorly-made,558
every,559
mac,560
batty,561
hard,562
program,563
secure,564
taken,565
care,566
automatically,567
twice,568
covered,569
graphic,570
couldn't,571
review,572
book,573
driver,574
speedy,575
vibrant,576
seems,577
around,578
built,579
normal,580
disable,581
bottom,582
memory,583
though,584
paid,585
sound,586
keep,587
access,588
dropped,589
couple,590
lightning,591
carry,592
supposed,593
disconnect,594
alot,595
type,596
glitch,597
readable,598
lenovo,599
yet,600
seem,601
major,602
improvement,603
sh,604
#,605
key,606
previous,607
reflective,608
uninstall,609
shame,610
dirty,611
taking,612
system,613
economical,614
cooling,615
satisfactory,616
allow,617
double,618
bang,619
buck,620
bell,621
whistle,622
reason,623
abysmal,624
point,625
smudged-looking,626
appearance,627
lacking,628
across,629
saving,630
purchasing,631
standard,632
filled,633
turning,634
several,635
struggle,636
drop,637
resolved,638
mistake,639
seamlessly,640
dream,641
important,642
below,643
short,644
potential,645
part,646
benefit,647
friend,648
overheats,649
rugged,650
iffy,651
unfortunately,652
mushy,653
splendidly,654
red,655
tragic,656
laggy,657
ton,658
turtle,659
cracked,660
heart,661
embarrassed,662
response,663
beat,664
asking,665
stay,666
lucky,667
load,668
unregisterable,669
simpler,670
outstanding,671
well-polished,672
user-friendly,673
unique,674
corrupt,675
skip,676
