Tokens,Index
great,0
good,1
problem,2
to,3
fast,4
love,5
well,6
work,7
happy,8
issue,9
a,10
like,11
of,12
slow,13
the,14
better,15
best,16
excellent,17
nice,18
perfect,19
recommend,20
it,21
easy,22
fine,23
worth,24
for,25
up,26
bad,27
terrible,28
amazing,29
i,30
more,31
buy,32
on,33
out,34
get,35
run,36
smooth,37
have,38
not,39
light,40
solid,41
use,42
new,43
need,44
disappointed,45
time,46
in,47
.,48
and,49
back,50
down,51
responsive,52
everything,53
decent,54
working,55
cheap,56
cool,57
satisfied,58
my,59
only,60
be,61
wrong,62
worst,63
can,64
faster,65
last,66
ok,67
awesome,68
beautiful,69
small,70
powerful,71
than,72
impressed,73
5,74
pleased,75
star,76
high,77
quick,78
complaint,79
you,80
what,81
turn,82
easily,83
any,84
again,85
"""",86
bright,87
useless,88
off,89
right,90
is,91
free,92
stopped,93
smoothly,94
go,95
with,96
one,97
no,98
long,99
hour,100
simple,101
enough,102
thin,103
lightweight,104
2,105
price,106
fix,107
me,108
/,109
support,110
lot,111
help,112
broke,113
this,114
much,115
screen,116
cheaper,117
adequate,118
sensitive,119
helpful,120
that,121
do,122
or,123
portable,124
had,125
look,126
little,127
never,128
speed,129
suck,130
hate,131
return,132
all,133
-,134
quality,135
doe,136
clear,137
horrible,138
sleek,139
handle,140
loved,141
",",142
money,143
replace,144
impressive,145
trouble,146
fantastic,147
le,148
poor,149
freeze,150
nicely,151
play,152
quickly,153
value,154
too,155
big,156
heavy,157
smaller,158
lighter,159
expectation,160
crap,161
useful,162
size,163
getting,164
would,165
annoying,166
day,167
able,168
full,169
available,170
worked,171
needed,172
exactly,173
crash,174
went,175
but,176
surprised,177
:,178
),179
take,180
ha,181
just,182
will,183
brand,184
purchase,185
hot,186
at,187
feature,188
4,189
3,190
waste,191
wonderful,192
elegant,193
space,194
game,195
recommended,196
charge,197
own,198
wish,199
missing,200
weak,201
dead,202
failed,203
returned,204
easier,205
sturdy,206
crashed,207
your,208
!,209
used,210
most,211
want,212
few,213
expensive,214
perfectly,215
liked,216
meet,217
feel,218
boot,219
shut,220
frustrating,221
respond,222
large,223
shuts,224
lack,225
fan,226
slower,227
nightmare,228
usable,229
difficult,230
error,231
flawlessly,232
stable,233
stunning,234
window,235
wa,236
make,237
second,238
bloatware,239
deal,240
without,241
pro,242
affordable,243
low,244
pay,245
enjoy,246
blue,247
cost,248
downside,249
10,250
heavier,251
prefer,252
longer,253
flaw,254
unresponsive,255
laptop,256
paying,257
looking,258
don't,259
about,260
same,261
buying,262
fixed,263
been,264
even,265
&,266
quite,267
con,268
handy,269
piece,270
sent,271
plenty,272
different,273
design,274
scratch,275
ridiculous,276
could,277
flawless,278
top,279
heat,280
gripe,281
beast,282
disappointing,283
skeptical,284
comfortable,285
fun,286
wonderfully,287
from,288
wanted,289
1,290
8,291
lost,292
won't,293
using,294
(,295
itself,296
glad,297
capable,298
repair,299
thing,300
half,301
thanks,302
anything,303
nothing,304
hiccup,305
properly,306
ease,307
old,308
hold,309
miss,310
loving,311
power,312
detail,313
awful,314
provide,315
loud,316
quiet,317
fastest,318
experience,319
gorgeous,320
okay,321
call,322
fried,323
slim,324
drawback,325
fault,326
wow,327
garbage,328
by,329
keyboard,330
video,331
battery,332
weight,333
first,334
reliable,335
performance,336
pretty,337
latest,338
start,339
7,340
upgraded,341
bonus,342
hitch,343
died,344
way,345
functional,346
plus,347
come,348
faulty,349
amount,350
condition,351
compatible,352
expected,353
screwed,354
modern,355
matter,356
forever,357
negative,358
superb,359
solution,360
conflict,361
limited,362
huge,363
crisp,364
away,365
replaced,366
greatest,367
fit,368
poorly,369
behind,370
jump,371
steal,372
dog,373
brilliant,374
unusable,375
beware,376
stylish,377
broken,378
crappy,379
stuck,380
happier,381
frustration,382
shady,383
surprise,384
turd,385
computer,386
doesn't,387
sending,388
find,389
are,390
ever,391
bought,392
some,393
life,394
stick,395
job,396
another,397
other,398
nut,399
after,400
week,401
year,402
instead,403
did,404
can't,405
having,406
accurate,407
install,408
connect,409
sluggish,410
setting,411
change,412
loose,413
end,414
gaming,415
impossible,416
replacement,417
met,418
cover,419
crystal,420
hardly,421
randomly,422
try,423
installed,424
discrete,425
cut,426
let,427
grace,428
unhappy,429
concerned,430
technical,431
took,432
true,433
else,434
flat,435
silent,436
above,437
super,438
blown,439
stand,440
recognize,441
die,442
nicer,443
dim,444
line,445
unusual,446
solidly,447
function,448
inoperable,449
sufficient,450
fabulous,451
sharp,452
apart,453
rock,454
send,455
average,456
unnecessary,457
crazy,458
difference,459
clunky,460
drain,461
meh,462
got,463
touch,464
build,465
version,466
them,467
product,468
month,469
slowed,470
machine,471
minute,472
appreciate,473
came,474
amazon,475
two,476
port,477
attached,478
open,479
running,480
there,481
must,482
refurbished,483
class,484
black,485
cannot,486
shipping,487
older,488
upgrade,489
denied,490
convenience,491
eat,492
defective,493
going,494
unfortunate,495
level,496
found,497
killer,498
save,499
+,500
over,501
suggest,502
overheat,503
9,504
worried,505
advertised,506
delivers,507
done,508
quad-core,509
worry,510
rating,511
order,512
fail,513
junk,514
loses,515
frustrated,516
none,517
installing,518
thank,519
damaged,520
unable,521
annoyed,522
weighs,523
noticeable,524
warm,525
overheating,526
delay,527
designed,528
cumbersome,529
aware,530
quicker,531
inadequate,532
recived,533
breaking,534
waiting,535
fell,536
disabled,537
durable,538
samsung,539
disappointment,540
mind,541
shutdown,542
advantage,543
significantly,544
noise,545
acknowledged,546
fly,547
mess,548
advice,549
lower,550
hung-up,551
slows,552
drive,553
made,554
i've,555
switch,556
constantly,557
24,558
touchscreen,559
extra,560
very,561
actually,562
scaling,563
bigger,564
fuzzy,565
might,566
didn't,567
they,568
color,569
preferable,570
resolution,571
i'm,572
least,573
favorite,574
now,575
purchased,576
insanity,577
$25,578
poorly-made,579
every,580
mac,581
batty,582
hard,583
program,584
secure,585
taken,586
care,587
automatically,588
twice,589
covered,590
graphic,591
before,592
couldn't,593
review,594
book,595
driver,596
speedy,597
vibrant,598
seems,599
around,600
built,601
normal,602
disable,603
bottom,604
memory,605
though,606
paid,607
sound,608
keep,609
access,610
dropped,611
couple,612
lightning,613
carry,614
supposed,615
disconnect,616
alot,617
type,618
glitch,619
readable,620
lenovo,621
yet,622
seem,623
major,624
improvement,625
sh,626
#,627
key,628
previous,629
reflective,630
uninstall,631
shame,632
dirty,633
taking,634
system,635
economical,636
cooling,637
satisfactory,638
allow,639
double,640
bang,641
buck,642
bell,643
whistle,644
reason,645
abysmal,646
point,647
smudged-looking,648
appearance,649
lacking,650
across,651
saving,652
purchasing,653
standard,654
filled,655
turning,656
several,657
struggle,658
drop,659
resolved,660
mistake,661
seamlessly,662
dream,663
important,664
below,665
short,666
potential,667
part,668
benefit,669
friend,670
overheats,671
rugged,672
iffy,673
unfortunately,674
mushy,675
splendidly,676
red,677
tragic,678
laggy,679
ton,680
turtle,681
cracked,682
heart,683
