classifier,label,data,runtime,precision,recall,f_measure
['type_1'],['sentiments'],['basic'],[0.012991905212402344],[0.5304262054274133],[0.5945188025068356],[0.5606466987182401]
['Multinomial Naive Bayes'],['sentiments'],['count_vec_data'],[0.025],[0.838348378179882],[0.6788832395362281],[0.7278508303034523]
['Multinomial Naive Bayes'],['sentiments'],['dict_vec_feature_set_data'],[1.592],[0.8351945468955146],[0.7300962700096554],[0.7701549506154621]
['Linear Support Vector Machine'],['sentiments'],['count_vec_data'],[0.44],[0.8385159435672587],[0.6791572121389677],[0.7281387144099739]
['Linear Support Vector Machine'],['sentiments'],['dict_vec_feature_set_data'],[106.45],[0.8587563725671858],[0.8086944797528985],[0.8312981850005574]
['Decision Trees'],['sentiments'],['dict_vec_feature_set_data'],[83.01],[0.8693351406196552],[0.7816283051469488],[0.8179584561030977]
['K-Nearest Neighbor'],['sentiments'],['dict_vec_feature_set_data'],[2630.387],[0.8462814631143396],[0.7608040955706661],[0.7958224738161289]
['Logistic Regression'],['sentiments'],['count_vec_data'],[0.112],[0.8641073155111993],[0.6536908649022415],[0.7066666759929453]
['Logistic Regression'],['sentiments'],['dict_vec_feature_set_data'],[2.356],[0.8741386941458584],[0.7625616454107147],[0.8060118611698845]
['Linear Perceptron'],['sentiments'],['count_vec_data'],[0.058],[0.7362948227344368],[0.6732143819077906],[0.6981372959373046]
['Linear Perceptron'],['sentiments'],['dict_vec_feature_set_data'],[14.647],[0.6391817468044554],[0.8443152023765084],[0.649498011277749]
['type_1'],['aspects'],['basic'],[0.010998964309692383],[0.5300159500711719],[0.6025516620239858],[0.5639610177865018]
['Multinomial Naive Bayes'],['aspects'],['count_vec_data'],[0.025],[0.7372694231441554],[0.5840330308657544],[0.6150640503730902]
['Multinomial Naive Bayes'],['aspects'],['dict_vec_feature_set_data'],[1.604],[0.7816017467904962],[0.7608142811797434],[0.7706932952239871]
['Linear Support Vector Machine'],['aspects'],['count_vec_data'],[0.469],[0.7306123320704836],[0.5968030758075465],[0.6291555182392782]
['Linear Support Vector Machine'],['aspects'],['dict_vec_feature_set_data'],[132.197],[0.8694717832796698],[0.7381734340373],[0.7865921077911227]
['Decision Trees'],['aspects'],['dict_vec_feature_set_data'],[60.278999999999996],[0.8592693974164836],[0.7427600149206217],[0.7872346608564611]
['K-Nearest Neighbor'],['aspects'],['dict_vec_feature_set_data'],[2739.17],[0.7951992696647567],[0.7166663426307949],[0.7483410136852409]
['Logistic Regression'],['aspects'],['count_vec_data'],[0.156],[0.7565677998873418],[0.5838482364737623],[0.6163869811782697]
['Logistic Regression'],['aspects'],['dict_vec_feature_set_data'],[2.4690000000000003],[0.8806426309461366],[0.7180623526913615],[0.7728207343004041]
['Linear Perceptron'],['aspects'],['count_vec_data'],[0.053],[0.649992672256688],[0.612814551634129],[0.6276404851708945]
['Linear Perceptron'],['aspects'],['dict_vec_feature_set_data'],[17.555],[0.9255143588750312],[0.6441958496310478],[0.7044473985211349]
['type_1'],['modifiers'],['basic'],[0.006999492645263672],[0.5226109134868676],[0.7007636142176812],[0.5987156087871512]
['Multinomial Naive Bayes'],['modifiers'],['count_vec_data'],[0.026000000000000002],[0.8231975615956346],[0.6176023712196186],[0.6692600476806516]
['Multinomial Naive Bayes'],['modifiers'],['dict_vec_feature_set_data'],[1.83],[0.7048628070317705],[0.7430522776116139],[0.7221346803731432]
['Linear Support Vector Machine'],['modifiers'],['count_vec_data'],[0.46],[0.8305703966365651],[0.6177231247214702],[0.6703231006323472]
['Linear Support Vector Machine'],['modifiers'],['dict_vec_feature_set_data'],[8.037],[0.8453964037085779],[0.6798326677924171],[0.734716479122385]
['Decision Trees'],['modifiers'],['dict_vec_feature_set_data'],[204.345],[0.8464618034628677],[0.6983759089024958],[0.7508723649834246]
['K-Nearest Neighbor'],['modifiers'],['dict_vec_feature_set_data'],[2865.447],[0.7671580831422933],[0.6871091309429543],[0.7194563908110686]
['Logistic Regression'],['modifiers'],['count_vec_data'],[0.134],[0.8483372221225096],[0.6045140104284867],[0.6568208745777524]
['Logistic Regression'],['modifiers'],['dict_vec_feature_set_data'],[2.82],[0.8744667568020291],[0.6597466713337872],[0.7212705173670775]
['Linear Perceptron'],['modifiers'],['count_vec_data'],[0.057],[0.6493198070091689],[0.6687315194939288],[0.6583449512205655]
['Linear Perceptron'],['modifiers'],['dict_vec_feature_set_data'],[19.804000000000002],[0.7927121506582382],[0.7489530575226272],[0.7689109173681652]
