classifier,label,data,runtime,precision,recall,f_measure
['type_1'],['sentiments'],['basic'],[0.014997005462646484],[0.5103941481743186],[0.5260486316483575],[0.5181031668614939]
['Multinomial Naive Bayes'],['sentiments'],['count_vec_data'],[0.033],[0.8384888157198919],[0.6778448402141504],[0.7269063423314697]
['Multinomial Naive Bayes'],['sentiments'],['dict_vec_pos_data'],[69.505],[0.6683307883385742],[0.7801374037024261],[0.7009909139579438]
['Linear Support Vector Machine'],['sentiments'],['count_vec_data'],[0.884],[0.838111810770795],[0.6791284665945272],[0.7280339518560828]
['Linear Support Vector Machine'],['sentiments'],['dict_vec_pos_data'],[353.70300000000003],[0.8091114968034169],[0.6989599310736974],[0.738671026136029]
['Decision Trees'],['sentiments'],['dict_vec_pos_data'],[1405.15],[0.7936595508230884],[0.6908956717873114],[0.7281334856848005]
['Logistic Regression'],['sentiments'],['dict_vec_pos_data'],[107.33],[0.8412540222349224],[0.6907588193692991],[0.7392921085060036]
['Linear Perceptron'],['sentiments'],['dict_vec_pos_data'],[587.263],[0.6858385226620033],[0.7594475342623264],[0.7131360248339045]
['type_1'],['aspects'],['basic'],[0.012973308563232422],[0.5211919931905682],[0.5656339838663353],[0.5425043377522837]
['Multinomial Naive Bayes'],['aspects'],['count_vec_data'],[0.034],[0.7307233260946513],[0.5593408711324309],[0.5824051371673349]
['Multinomial Naive Bayes'],['aspects'],['dict_vec_pos_data'],[48.041000000000004],[0.6458084234579322],[0.7754123179017192],[0.678029139377035]
['Linear Support Vector Machine'],['aspects'],['count_vec_data'],[0.968],[0.729982905481251],[0.5967605455401729],[0.6290320795046129]
['Linear Support Vector Machine'],['aspects'],['dict_vec_pos_data'],[518.886],[0.7463653788664779],[0.647286342131365],[0.6809135543493013]
['Decision Trees'],['aspects'],['dict_vec_pos_data'],[765.414],[0.6998487507305089],[0.6452870750996124],[0.6667804890288811]
['Logistic Regression'],['aspects'],['dict_vec_pos_data'],[88.842],[0.7737301891631263],[0.6383857104886725],[0.6784248314993608]
['Linear Perceptron'],['aspects'],['dict_vec_pos_data'],[759.169],[0.6904586093308338],[0.7098229421172948],[0.6994815601322831]
['type_1'],['modifiers'],['basic'],[0.010966777801513672],[0.5190371266888131],[0.6738541908628595],[0.5863993439914081]
['Multinomial Naive Bayes'],['modifiers'],['count_vec_data'],[0.036000000000000004],[0.824392187894697],[0.6155229336406159],[0.6670941398158179]
['Multinomial Naive Bayes'],['modifiers'],['dict_vec_pos_data'],[65.63900000000001],[0.641071194454665],[0.8360406250131652],[0.6914854195452946]
['Linear Support Vector Machine'],['modifiers'],['count_vec_data'],[0.874],[0.8280770081175935],[0.6176828735541864],[0.6699674855122978]
['Linear Support Vector Machine'],['modifiers'],['dict_vec_pos_data'],[129.086],[0.7974012589035335],[0.6723063177023261],[0.7168863325571091]
['Decision Trees'],['modifiers'],['dict_vec_pos_data'],[3581.4660000000003],[0.760760969397688],[0.6876806150927866],[0.7177266251550938]
['Logistic Regression'],['modifiers'],['dict_vec_pos_data'],[133.276],[0.8296958745580201],[0.6635003101950026],[0.7166217732021001]
['Linear Perceptron'],['modifiers'],['dict_vec_pos_data'],[797.514],[0.6519044982538722],[0.806424512164095],[0.6988002868318595]
