classifier,label,data,runtime,precision,recall,f_measure
['Multinomial Naive Bayes'],['sentiments'],['count_vec_data'],[0.033],[0.838348378179882],[0.6788832395362281],[0.7278508303034523]
['Multinomial Naive Bayes'],['sentiments'],['dict_vec_feature_set_data'],[2.753],[0.8351945468955146],[0.7300962700096554],[0.7701549506154621]
['Linear Support Vector Machine'],['sentiments'],['count_vec_data'],[0.463],[0.8385159435672587],[0.6791572121389677],[0.7281387144099739]
['Linear Support Vector Machine'],['sentiments'],['dict_vec_feature_set_data'],[110.174],[0.8587563725671858],[0.8086944797528985],[0.8312981850005574]
['Logistic Regression'],['sentiments'],['count_vec_data'],[0.124],[0.8641073155111993],[0.6536908649022415],[0.7066666759929453]
['Logistic Regression'],['sentiments'],['dict_vec_feature_set_data'],[2.418],[0.8741386941458584],[0.7625616454107147],[0.8060118611698845]
['Multinomial Naive Bayes'],['aspects'],['count_vec_data'],[0.025],[0.7372694231441554],[0.5840330308657544],[0.6150640503730902]
['Multinomial Naive Bayes'],['aspects'],['dict_vec_feature_set_data'],[1.621],[0.7816017467904962],[0.7608142811797434],[0.7706932952239871]
['Linear Support Vector Machine'],['aspects'],['count_vec_data'],[0.52],[0.7306123320704836],[0.5968030758075465],[0.6291555182392782]
['Linear Support Vector Machine'],['aspects'],['dict_vec_feature_set_data'],[131.15],[0.8694717832796698],[0.7381734340373],[0.7865921077911227]
['Logistic Regression'],['aspects'],['count_vec_data'],[0.111],[0.7565677998873418],[0.5838482364737623],[0.6163869811782697]
['Logistic Regression'],['aspects'],['dict_vec_feature_set_data'],[2.17],[0.8806426309461366],[0.7180623526913615],[0.7728207343004041]
['Multinomial Naive Bayes'],['modifiers'],['count_vec_data'],[0.024],[0.8231975615956346],[0.6176023712196186],[0.6692600476806516]
['Multinomial Naive Bayes'],['modifiers'],['dict_vec_feature_set_data'],[1.601],[0.7048628070317705],[0.7430522776116139],[0.7221346803731432]
['Linear Support Vector Machine'],['modifiers'],['count_vec_data'],[0.345],[0.8305703966365651],[0.6177231247214702],[0.6703231006323472]
['Linear Support Vector Machine'],['modifiers'],['dict_vec_feature_set_data'],[6.522],[0.8453964037085779],[0.6798326677924171],[0.734716479122385]
['Logistic Regression'],['modifiers'],['count_vec_data'],[0.105],[0.8483372221225096],[0.6045140104284867],[0.6568208745777524]
['Logistic Regression'],['modifiers'],['dict_vec_feature_set_data'],[2.039],[0.8744667568020291],[0.6597466713337872],[0.7212705173670775]
